boundary,u_x,u_y,x,y
0.0,-0.0018804802866060407,0.0019078721193214615,1.555,144.615
0.0,-0.0021579043779270976,0.0017273664781612384,1.555,146.17
0.0,-0.0021636695871513306,0.0013431730895806459,1.555,147.725
0.0,-0.002259965398961945,0.000965449846885402,1.555,149.28
0.0,-0.0022187995655903823,0.0005807929730913695,1.555,150.835
0.0,-0.0021892077217317263,0.00029173490505432444,1.555,152.39
0.0,-0.0024073091926123773,2.4148284493689416e-06,1.555,153.945
0.0,-0.002452894791376488,-0.0004311507895217908,1.555,155.5
0.0,-0.0023778690980888104,-0.0008292536187940122,1.555,157.055
0.0,-0.0025388428398084024,-0.0013188950168937204,1.555,158.61
0.0,-0.0024244874680882105,-0.0015324438348403482,1.555,160.165
0.0,-0.0024654622676220633,-0.0019669595310741433,1.555,161.72
0.0,-0.002398935073941715,-0.0022018747330903314,1.555,163.275
0.0,-0.0024473219580388693,-0.0026631968828942513,1.555,164.83
0.0,-0.002376934280156201,-0.0032245402741617798,1.555,166.385
0.0,-0.002511470519655795,-0.003375742564398369,1.555,167.94
0.0,-0.002145127814333547,-0.003684116849485414,1.555,169.495
0.0,-0.002000912289145323,-0.004236687239066412,1.555,171.05
0.0,-0.0023053987102594855,-0.00455600593213887,1.555,172.605
0.0,-0.0018516070692445802,-0.004848885335585418,1.555,174.16
0.0,-0.0019366116738155146,-0.005295642329782075,1.555,175.715
0.0,-0.0015672874053324316,-0.00555234138320294,1.555,177.27
0.0,-0.0013295961437470257,-0.0059668015086933495,1.555,178.825
0.0,-0.0011584427451568743,-0.006346805997545006,1.555,180.38
0.0,-0.0010364423305326894,-0.00652862929214974,1.555,181.935
0.0,-0.0008472808235479604,-0.0067139283930663495,1.555,183.49
0.0,-0.0008297329003070974,-0.007059758983718028,1.555,185.045
0.0,-0.0005948437678512661,-0.007262713951091046,1.555,186.6
0.0,-0.0004886966103550244,-0.007390755570238667,1.555,188.155
0.0,-0.00019993293923970543,-0.007610498386532909,1.555,189.71
0.0,-0.000177948392752526,-0.007781338513355258,1.555,191.265
0.0,0.00020314313615695496,-0.007989290433060884,1.555,192.82
0.0,0.00039848808369696864,-0.007866404524137206,1.555,194.375
0.0,0.0004914685880149169,-0.008230459968240428,1.555,195.93
0.0,0.0009448103799050944,-0.008412799334516661,1.555,197.485
0.0,0.0009621914634269119,-0.008351695723431262,1.555,199.04
0.0,0.0011323031960713984,-0.008386215511802068,1.555,200.595
0.0,0.001349573945710226,-0.008474968803324155,1.555,202.15
0.0,0.001495299783328387,-0.008518605466944574,1.555,203.705
